country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,330,343,333,357,365,406,412,488,543,529,576,588,584,574,571,572,568,571
Albania,1840,1330,1240,1370,1490,1700,1870,1680,1840,2090,2240,2450,2570,2730,2890,3060,3260,3490,3780,3930,4090,4210,4280,4330,4410,4520,4680,4860,5070,5210
Algeria,3570,3440,3420,3280,3180,3240,3320,3300,3410,3470,3560,3620,3770,3990,4110,4290,4300,4380,4410,4400,4480,4520,4590,4620,4700,4780,4830,4790,4760,4710
Andorra,35400,34900,33900,32400,32300,32600,33800,36900,38200,39600,40400,42400,42600,44300,46000,46900,47800,47600,44300,41700,40900,41200,39800,39100,40900,42100,44100,44400,45100,45900
Angola,2690,2620,2390,1760,1730,1920,2110,2200,2230,2200,2200,2210,2430,2420,2600,2880,3100,3410,3650,3550,3590,3580,3750,3800,3840,3750,3530,3410,3230,3100
Antigua and Barbuda,11100,11200,11100,11500,12000,11200,11700,12100,12400,12600,13200,12300,12300,12900,13400,14100,15700,16800,16600,14300,13000,12600,12900,12600,13000,13300,13900,14200,15100,15700
Argentina,6250,6720,7160,7640,7990,7670,7990,8540,8770,8380,8220,7780,6850,7380,7960,8580,9170,9900,10200,9500,10400,10900,10600,10800,10400,10600,10200,10400,10000,9730
Armenia,1800,1600,948,885,956,1040,1120,1170,1270,1320,1400,1550,1760,2020,2240,2570,2930,3360,3630,3140,3220,3370,3600,3710,3820,3920,3920,4200,4410,4730
Australia,35900,35300,35000,36100,37100,38100,39100,40200,41600,43200,44300,44600,45800,46600,47900,48800,49400,51000,51800,51800,52000,52600,53700,54100,54700,55100,55700,56100,56900,57100
Austria,33900,34700,35000,34900,35600,36500,37300,38100,39400,40700,42000,42400,42900,43100,44000,44600,46000,47500,48100,46100,46900,48100,48200,47900,47800,47800,48300,49100,50100,50700
Azerbaijan,3170,3100,2360,1790,1420,1230,1240,1300,1410,1510,1660,1810,1960,2150,2330,2950,3920,4860,5270,5640,5840,5680,5720,5980,6070,6060,5810,5760,5800,5880
Bahamas,29700,27900,26300,25900,26300,27000,27800,28000,29000,30700,31600,31900,32200,31300,31000,31400,31600,31500,30200,28400,28400,28200,28800,27700,27600,27500,27400,27100,27300,27500
Bahrain,17900,19400,20200,22200,21600,21900,22200,22300,22600,22800,23000,22400,22000,22100,22100,22100,21800,21800,21600,20800,20700,20500,20900,21800,22400,22400,22300,22100,21500,20900
Bangladesh,411,416,429,439,447,460,470,481,496,508,525,541,552,568,588,618,650,687,720,748,781,822,866,907,951,1000,1060,1130,1200,1290
Barbados,14400,13800,13000,13000,13200,13400,13900,14500,15000,15000,15600,15100,15200,15500,15700,16200,17100,17400,17400,16500,16100,15900,15800,15500,15500,15800,16200,16300,16100,16100
Belarus,3100,3060,2760,2550,2250,2020,2090,2340,2540,2640,2810,2960,3130,3370,3780,4160,4610,5030,5560,5580,6030,6370,6480,6540,6650,6380,6220,6380,6590,6680
Belgium,32700,33100,33500,33100,34000,34800,35200,36400,37000,38300,39600,39900,40400,40600,41900,42600,43400,44700,44600,43300,44100,44300,44400,44400,44900,45500,45900,46600,47100,47500
Belize,2840,3110,3430,3580,3510,3450,3390,3380,3380,3540,3860,3920,3990,4250,4340,4310,4400,4310,4350,4250,4270,4250,4250,4210,4270,4300,4220,4210,4220,4150
Benin,834,840,835,854,842,863,873,895,904,924,950,971,985,989,1000,989,999,1030,1050,1040,1040,1040,1060,1100,1140,1130,1130,1170,1210,1260
Bhutan,768,759,794,813,854,910,948,981,1020,1070,1120,1190,1290,1370,1420,1500,1590,1860,1930,2040,2260,2410,2500,2530,2640,2780,2970,3070,3130,
