'Hi I&rsquo;m a Kara enthusiast'
'Fui a Mykonos, Paros, Syros, Atenas e Ios'
'O mientras tomo jajaja'
'Tienes hijos?'
'Si unos minutos jaja'
'Jaja si vamos'
'Pero yo tengo tos jajaja'
'Lindalumos'
'I&apos;m 1,75'
'I&apos;d like to be 180cm'
'I&apos;m in kuta. You?'
'O&apos;learys'
'Himas jo 😊'
'Paras!'
'Pusipusi'
'I&apos;m 21'
'I&apos;m from Helsinki, you?'
'2.15m 🐒'
'To paris'
'Viet'
'Viet'
'Rip savage'
'ikr 😭😭😭'
'vai in giro'
'mi piaci'
'L&apos;hai visto Metropolis?'
'Lagos, Algarve'
'tipo 8cm mai?'
'vivi a bergamo?'
'l&apos;hai visto?'
'tu vivi a bergamo?'
'Te gusta vino?'
'Anytime.'
'**List** my job not &apos;like&apos; my job'
'Anytime 😌'
'I&rsquo;m dying'
'Cause like I&rsquo;m 5&rsquo;0'
'I&rsquo;m just saying'
'I&rsquo;m trying.'
'smoking &lt; drinking'
'Je vais avoir 20'
'Nan je supportais pas !'
'ikr'
'I&rsquo;m from San jose'
'I&rsquo;m so drunk it&rsquo;s okay'
'I&rsquo;m dying'
'I&rsquo;m game'
'kinda I&rsquo;m 6&rsquo;'
'Jk 5&rsquo;6'
'bisoius'
'Umm pas vraiment'
'Jamais 😈'
'Mdr je sais pas trop'
'I&apos;m sorry'
'I don&apos;t think I&apos;m smart'
'I&apos;m listening'
'I&apos;m okay'
'I&apos;m good'
'I&apos;m good'
'I&apos;m good'
'I&apos;m glad'
'&apos;tl dr&apos;'
'I&apos;m listening'
'I&apos;m saving my vacation time'
'I&apos;m listening'
'sausage'
'I&apos;m lucky'
'I&apos;m okay'
'I&apos;m so basic'
'party'
'I&apos;m not a big drinker'
'I&apos;m good'
'so bonus posts'
'I&apos;m good'
'I&apos;m Hotel'
'I&apos;m Hotel'
'Hey I&rsquo;m asking'
'I&rsquo;m kidding'
'I&apos;m good'
'I&apos;m in'
'I&apos;m type A'
'So I&apos;m busy'
'I&apos;m beat'
'Mom is Ukranian'
'5&apos;11'
'Ya I&apos;m in Van'
'It&apos;s kinda random'
'I&apos;m kidding'
'Ok I&apos;m 778-997-7577'
'Ok so I&apos;m game'
'I&apos;m at 33rd'
'Do you drink?'
'I&apos;m meh'
'I&apos;m good'
'I&apos;m a guy'
'I&apos;m tired'
'I&apos;m always multi tasking'
'I&apos;m kidding'
'I&apos;m like a 205lb man'
'I&apos;m kidding'
'Ya I&apos;m kinda smart lol'
'Like my dad is 6&apos;2 265lbs?'
'But I&apos;m like a guy'
'Kinky'
'I&apos;m like 5&apos;11&sol;6'
'And kinky'
'I&apos;m German&sol;Ukrainian'
'I&apos;m good'
'I&apos;m 33rd'
'Like I&apos;m a guy'
'Jesus I&apos;m old'
'But I&apos;m busy'
'Miriam'
'5&apos;9??'
'I&apos;m lucky'
'I&apos;m hungover'
'I&apos;m a geek'
'5&apos;9.1'
'I&apos;m like 5&apos;11'
'And kdramas?'
'I&rsquo;m 200lbs'
'Cause I&rsquo;m like paralyzed'
'Ya I&rsquo;m kidding'
'Drinking'
'I&rsquo;m like 5&rsquo;11'
'No I&apos;m not a stalker'
'I&apos;m always multitasking'
'I&apos;m like 190lbs'
'I&apos;m good'
'Btw I&apos;m kidding'
'5&apos;11'
'I&apos;m in Van'
'Nope maybe I&apos;m just like you'
'I&apos;m joking btw'
'I&apos;m like 5&apos;11'
'I&apos;m kidding'
'I&apos;m old'
'I&apos;m good'
'I&apos;m back'
'I&apos;m in van'
'I&apos;m new'
'I&apos;m totally kidding'
'I&apos;m good'
'I&apos;m a rookie'
'I&apos;m like 4 months single'
'I&apos;m kidding'
'And I&apos;m rusty'
'I&apos;m 5&apos;11'
'I&apos;m kidding'
'I&apos;m good!'
'I&apos;m joking'
'Cause I&apos;m 5&apos;2&quot;'
'I&apos;m lost'
'I&apos;m joking'
'Mais j&apos;ai bien dormi !'
'Je ne sais pas ! 😄'
'Non je l&apos;ai pas faite ! Mais j&apos;aimerai trop aussi !!!'
'Pseudo j&apos;aime bien ! Jaipur je l&apos;ai déjà vu mais jamais joué'
'Galerpagos'
'Promis ! 😊'
'J&apos;ai perdu 😢'
'Mais je n&apos;avais jamais fait l&apos;association slip - gay 😄'
'Je sais pas si je l&apos;ai vu'
'Pas vraiment'
'J&apos;ai perdu ... 😕'
'Si je savais 😅'
'Mais ça m&apos;avait pas paru dingue'
'Mais je ne savais pas si je l&apos;étais vraiment'
'Sur ce je vais dormir !'
'Gros sujets ! 😛'
'Ouais j&apos;imagine !'
'J&apos;ai jamais fait autant ! 😅'
'J&apos;ai bien dormi aussi !'
'Tu n&apos;as pas l&apos;air au top 😕😕'
'J&apos;imagine !'
'2AM burritos ?'
'Y tu? Como vas?'
'Jaja, mas o menos'
'Vamos a ver'
'Vas a viajar?'
'Hi Virginia'
'Dijimos a las 19, no?'
'Fotos tuyas?'
'Dónde vais a ir'
'Genial, vamos!'
'Jugamos FIFA 😆'
'A ti te gusta tu trabajo?'
'Te gustan los vikingos?'
'Pero mejor ir sin prisa'
'Me invitas?'
'Cómo vas?'
'Jaja, gracias ☺️'
'What&apos;s fantasmikos?'
'Las motos?'
'Pues para vivir'
'Jaja lo imagino. Viajar siempre es genial'
'no me antoje mas tanto'
'Jeje gracias 😊'
'Si vamos!'
'Joder seria demasiado padre si tuvieran smash o mario kart'
'Si vamos!'
'Yooo!!! I&apos;m visiting Bailie!!'
'Mais*'
'Pho paganini is vietnamese'
'tudo ótimo tbm'
'travis scott é muito bom kakakak'
'ia direto la pro centro kakakak'
'gostamos'
'tudo sim'
'coronga vairus'
'mas nos últimos anos'
'Oi Pietra'
'Vai passar rapidinho!'
'tudo otimo tbm!!'
'So vamo!'
'Vai DJ'
'Como vai?'
'19km'
'JS vai te suprir melhor'
'Como vai???'
'Como vai?'
'Oi!! Como vai?'
'Como vai??'
'vai?*'
'Juro'
'Oi! Como vai?'
'Só vamos!'
'yesssir i am nguoi viet'
'HAHAHA i&rsquo;m kidding'
'i&rsquo;m kidding'
'i&rsquo;m a nursing major!🤕'
'it&rsquo;s vivi.tran'
'vivianxtran'
'my snaps vivianxtran'
'it&rsquo;s vivi.tran'
'vivianxtran'
'vivianxtran'
'vivianxtran'
'im just tryna dip assp'
'vivianxtran'
'Nee, autolos. 😅😉'
'74km?'
'I&apos;m also traveling'
'2000km?'
'ikr!'
'alien emoji!'
'you&apos;re like 23'
'go drinks'
'&lpar;I&rsquo;m joking&rpar;'
'but smoky'
'asparagus is gross'
'it&apos;s a joke'
'australia'
'Ando is a genius 😍'
'HEY THAT&apos;S JESS!'
'adidas party'
'i&apos;m not'
'I don&apos;t drink milk anymore'
'it&apos;s my job'
'no I&apos;m joking'
'spain'
'paris'
'limo?'
'it&apos;s so sparkly'
'sudo'
'I&apos;m mostly kidding'
'it&apos;s gr8'
'i&apos;m a photog so instagram is my jam'
'i&apos;m interning'
'I&apos;m a neuro major'
'i&apos;m sleeping'
'it&apos;s a joke'
'i&apos;m premed'
'my dog&apos;s mini'
'i&apos;m just not very good'
'st marks&apos; lion'
'tokyo pop&apos;s sushi is subpar'
'srsly'
'vinyl'
'irony'
'i&apos;m listening to dark days'
'viagra dude'
'i&apos;m green'
'i&apos;m in siberia atm'
'emoji'
'baikal is 👌👌👌'
'i&apos;m interning'
'i&apos;m a neuro major'
'it&apos;s a joke'
'I&apos;m good'
'it&apos;s tiny'
'i&apos;m 🇦🇺'
'i&apos;m in australia buddy'
'i don&apos;t like australian music'
'I don&apos;t drink'
'i&apos;ll link you to some photos 😛'
'6 km?'
'i&apos;m at melbourne'
'i&apos;m kidding'
'i&apos;m sorry'
'i&apos;m alright'
'i&apos;m not'
'links!'
'so irony'
'i don&apos;t drink anymore'
'yes i do like dinosaurs'
'i&apos;m in russia'
'i&apos;m nor'
'photos pls'
'i&apos;m australian'
'i&apos;m australian'
'australia'
'i&apos;m australian'
'sans emoji, yes'
'i&apos;m a vinyl enthusiast'
'i&apos;m in irkutsk'
'i&apos;m premed'
'patriotism'
'i&apos;m just visiting'
'i&apos;m intp'
'i&apos;m premed'
'i&apos;m sorry'
'i&apos;m facebooking'
'i&apos;m interning'
'i don&apos;t drink anymore'
'i&apos;m australian'
'like giant m&ms 😻'
'kinks!'
'man i&apos;m jealous, she&apos;d be amazing'
'samurai&apos;s good'
'it&apos;s pink'
'i&apos;m a vinyl enthusiast'
'THAT&apos;s gross'
'I hope you&apos;re joking'
'rum is so good in mojitos 😸'
'i&apos;m right'
'LOTR?'
'drinks'
'*smoke'
'i&apos;m alright'
'vinyl is king'
'*virus + bacteria'
'okay i&apos;m rusty'
'alias?'
'i&apos;m melting'
'pierogis'
'12km'
'LEINSTER!'
'miniso'
'irvine'
'irvine'
'rip 2k20'
'taipei'
'irvine'
'irvine'
'maybe i&rsquo;m too boring'
'smol'
'irvine'
'paul salvador'
'irvine'
'i&rsquo;m dying'
'irvine'
'ikr'
'irvine'
'i&rsquo;m a gemini'
'irvine'
'msrp ~75k'
'irvine'
'irvine'
'ikr'
'kdramas?'
'I&apos;m just 193😅'
'But I&apos;m just procrastinating atm'
'S&apos;up? '
'S&apos;up? '
'S&apos;up? '
'S&apos;up? '
'Kos '
'Kos '
'I&apos;m just a regular virgin'
'I&apos;m not surprised'
'I&apos;m also a liar'
'I&apos;m in'
'No, I&apos;m just really kinky'
'Virginia'
'Jasmin'
'I&apos;m like Roy'
'Do you like video games?'
'I&apos;m as original as pewdiepie'
'J&rsquo;suis pas sur'
'T&apos;y vas ?'
'Mais mais mais mzis'
'Damso'
'Ptn je t&rsquo;aime'
'J&rsquo;aime paaaas si je sais pas 😶'
'Aurais tu snap ? J&rsquo;aime pas trop bcp tinder ahah'
'Ça va je taff sinon j&rsquo;aurais finis'
'J&rsquo;avais pas vu le «\xa0A$AP ROCKY\xa0»'
'Hmm je sais pas vraiment'
'J&rsquo;suis pas nul moi promis ahah'
'J&rsquo;sais pas'
'T&rsquo;as snap ? 🙄'
'Mais j&rsquo;avais 16ans'
'Mais mais mais'
'Mais mal'
'Minimoys'
'J&rsquo;sais pas si j&rsquo;y survivrais'
'Paris !'
'j&apos;vais t&apos;injecter monn SQL'
'378km ? 🙄'
'T&rsquo;as snap ? 😁'
'Ahah j&apos;ai jamais dis ca 🤗'
'T&rsquo;aimes bien naruto ?'
'Je vomis pas'
'Olala tu vas voir je te montrerais tu kifferas'
'Mais je suis proprio 🤓'
'Ouuui je vais au ski 🎿'
'Mais plus tard'
'T&apos;as snap ?'
'T&apos;as snap ? 🙄🙃'
'T&apos;as snap ? 🙄😌'
'T&apos;as snap ? 😌'
'Ouais j&apos;ai vu j&apos;aime bien'
'Olala j&apos;suis jaloux'
'Yes j&apos;en ai pas mal'
'Yes j&apos;aime trop 😁'
'T&apos;as snap ? 😌'
'Pas*'
'Mais j&apos;ai*'
'T&apos;as snap ? 🤗'
'L&apos;auras *'
'T&apos;as snap ? 😁'
'T&apos;as snap ?'
'Pas grave, t&apos;as snap sinon?'
'Ahah mais j&apos;aimerais trop'
'Paris 😞'
'T&apos;as snap ? 😁'
'J&apos;susi devin 🤓'
'J&apos;suis*'
'Ahahah t&apos;as l&apos;air vraiment jolie'
'T&apos;as snap ?'
'rip guys'
'5&apos;2-5&apos;4'
'5&apos;5'
'5&apos;7'
'Karo!'
'Links.'
'537km ist'
'UKE? Asklepios?'
'Klaro'
'Aus dinosaurierland'
'Karo!'
'Lis!'
'Karo!'
'also bei mir'
'Karo!'
'der vulkan aus den emojos. das ist bali, ja? kannst du surfen?'
'Viktoria!'
'Virginia!'
'Also klappt das.'
'1,1km'
'oder &apos;pilot&apos;'
'jo mas no'
'sir-'
'Anytime 😊'
'Anytime 😘'
'I don&apos;t drink'
'*i&apos;m'
'Hi i&apos;m Matt'
'I&rsquo;m jealous'
'Puras mentiras'
'Ajaja ademas no tengo auto'
'Listo'
'Con mis viejos'
'te gusta tu trabajo?'
'Jaja buenos dias 😄'
'Quiero viajar'
'iras a verlo?'
'Estamos mas o menos lejos'
'Te la pasas viajando?'
'Valparaiso'
'Salgamos?'
'Me siento viejo 😓'
'Tiremos?'
'Valparaiso'
'Tiremos?'
'Invitas tu o yo?'
'Valparaiso!'
'Valparaiso'
'Tiremos?'
'Valparaiso'
'Valparaiso'
'valparaiso'
'Dios mio...'
'Lindas cejas... supongo'
'I&rsquo;m Vietnamese'
'I&apos;m swiss'
'party'
'Im a Bio major'
'I&rsquo;m tiny'
'Grandisimos'
'Jajaja sisi es precioso!'
'E os playboys no DVD'
'cia is gerosios puses priimk, jei ka'
'greit atrasei, saunuole'
'kur nuotraukos dingo'
'panasiai'
'kur atostogos'
'su seima?'
'geros atostogos jei net man atrasei'
'ai as panevezy iki ryt'
'i raze varykit'
'tu is Vilniaus siaip?'
'o ziurek nuotraukos sugrizo'
'kodel skeiteriai centre visada bando daryt triukus'
'ir gyvenime nesu mates kad kam nors paeitu triukas'
'prie taves paprastesnius daro matyt'
'ai tai cia tik rimciausiem centre leidziama'
'mokykis mokykis ir dar karta mokykis tada'
'tu gali, kada nors jie tave priims kaip sava'
'visi taip sako kuriu i centra nepriima'
'pagarba taviskiam tada'
'siaip kiek laiko reikia kad kaip taviskiai moketum'
'daug kartu kelius i asfalta atitrankyt vadinasi'
'max tingeciau irgi tiek'
'moki snowboardint ar weikint gal'
'ismok'
'daug kainuoja zinok'
'nebent skeitint ismokysi'
'guoliai svarbiausia'
'nenuplesk pakabuko, atsargiai'
'isinorejau kursenu vyniotinio'
