Country,InternetPrice,EducationInverst,percPoverty
 Albania,21.16,3.099999905,14.3
 Algeria,45.18,6.100359917,5.5
 Argentina,29.414,4.724170208,35.5
 Armenia,17.69,2.705670118,26.4
 Australia,51.66125,5.123449802,12.4
 Austria,34.664,5.224520206,13.3
 Azerbaijan,18.32,2.681080103,6
 Bangladesh,28.59,1.326320052,24.3
 Belarus,12.04,4.952449799,5
 Belgium,51.4675,6.381370068,14.8
 Bolivia,49.69,8.899999619,37.2
 Bosnia and Herzegovina,22.815,,16.9
 Botswana,73.69,8.739999771,19.3
 Brazil,21.983,6.088510036,26.5
 Bulgaria,11.802,4.075270176,23.8
 Cambodia,30.14,2.162859917,17.7
 Canada,55.40137931,,11.6
 Chile,33.35,5.433169842,8.6
 Colombia,27.512,4.933100224,35.7
 Costa Rica,49.54,6.710669994,21
 Croatia,30.38166667,3.907550097,18.3
 Cyprus,47.10666667,5.718530178,14.7
 Czech Republic,18.4575,4.26692009,10.1
 Dominican Republic,45.02,4.618702412,21
 Ecuador,43.96333333,4.134130001,25
 El Salvador,46.62,3.385159969,22.8
 Estonia,25.75,5.26320982,21.7
 Finland,22.71666667,6.275420189,12.2
 France,29.04714286,,13.6
 Georgia,15.075,3.850080013,19.5
 Germany,37.14375,4.975769997,14.8
 Ghana,49.21,3.886130095,23.4
 Greece,36.9,3.597340107,17.9
 Guatemala,67.03,3.299720049,59.3
 Honduras,69.29,6.438438892,48.3
 Hungary,14.44,4.622829914,12.3
 Iceland,67.09,7.561709881,8.8
 India,10.50333333,4.474229813,21.9
 Indonesia,29.87666667,2.841850042,9.4
 Iraq,37.54,,18.9
 Ireland,55.91666667,3.392869949,13.1
 Israel,24.87,6.112339973,16.9
 Italy,32.23636364,4.256140232,20.1
 Japan,41.91,,15.7
 Jordan,44.61,2.988470078,15.7
 Kazakhstan,11.34,2.856970072,4.3
 Kenya,59.88,5.079969883,36.1
 Latvia,17.5,4.243569851,22.9
 Lebanon,51.9,2.592020035,27.4
 Lithuania,11.9,3.892930031,20.6
 Luxembourg,60.29,,17.5
 Malaysia,28.48666667,3.916970015,5.6
 Maldives,109.22,4.121590137,8.2
 Mexico,24.62111111,4.254220009,41.9
 Montenegro,24.29,,24.5
 Morocco,28.95666667,6.754302025,4.8
 Namibia,48.16,9.446896553,17.4
 Nepal,17.35,4.389999866,25.2
 Nicaragua,62.55,4.630000114,24.9
 Nigeria,40.95,,40.1
 North Macedonia,20.38,,21.6
 Norway,48.815,7.644110203,12.7
 Pakistan,23.09833333,2.507550001,24.3
 Panama,46.43,3.906071424,22.1
 Paraguay,33.06,3.303621531,23.5
 Peru,32.58,4.246679783,20.2
 Philippines,48.4275,3.880000114,16.7
 Poland,13.577,4.615799904,15.4
 Portugal,35.726,4.675159931,17.2
 Romania,8.832,3.344749928,23.8
 Serbia,20.86,3.616470098,23.2
 Slovenia,39.47,4.935870171,12
 South Africa,53.388,6.192880154,55.5
 Spain,43.79222222,4.181570053,20.7
 Sri Lanka,17.42,1.929999948,4.1
 Sweden,31.125,7.640840054,17.1
 Switzerland,60.225,4.863259792,16
 Tanzania,72.67,3.225153446,26.4
 Thailand,20.6625,2.968980074,9.9
 Trinidad and Tobago,49.66,4.103740215,
 Tunisia,15.2,7.32434988,15.2
 Uganda,69.06,2.586275816,21.4
 Ukraine,5.01,5.441299915,1.1
 United Arab Emirates,100.362,3.879869938,
 United Kingdom,37.69043478,5.167990208,18.6
 Uruguay,32.34,4.703259945,8.8
 Uzbekistan,33.56,4.922790051,14.1
 Vietnam,10.575,4.061970234,6.7
 Zimbabwe,104.83,3.866110086,38.3
